epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
49,457.425,0.84322,1.20246,0.64219,0.91795,0,0.83816,0.91981,0.93408,0.89853,0.83816,0.91981,0.93408,0.83963,0.33692,0.34637,0.37527,0.7987,0,0.000583053,0.000583053,0.000583053
50,466.36,0.82973,1.15846,0.63601,0.91346,0,0.86978,0.94436,0.93718,0.89777,0.86978,0.94436,0.93718,0.85223,0.32833,0.33419,0.36481,0.7963,0,0.000572054,0.000572054,0.000572054
51,475.262,0.82391,1.18443,0.63124,0.91623,0,0.87047,0.88434,0.95327,0.89871,0.87047,0.88434,0.95327,0.85541,0.3361,0.34761,0.36373,0.79725,0,0.000561055,0.000561055,0.000561055
52,484.236,0.83888,1.15133,0.62002,0.9076,0,0.89479,0.87598,0.92582,0.87833,0.89479,0.87598,0.92582,0.83521,0.35743,0.33874,0.39492,0.7982,0,0.000550056,0.000550056,0.000550056
53,493.24,0.80081,1.12654,0.61192,0.90337,0,0.85064,0.9059,0.89764,0.8717,0.85064,0.9059,0.89764,0.79988,0.33013,0.33859,0.37834,0.79495,0,0.000539057,0.000539057,0.000539057
54,502.233,0.81037,1.21569,0.61987,0.90535,0,0.8339,0.9452,0.93478,0.88433,0.8339,0.9452,0.93478,0.84474,0.33453,0.35025,0.36586,0.79494,0,0.000528058,0.000528058,0.000528058
55,511.184,0.80252,1.15528,0.61215,0.90735,0,0.78034,0.95863,0.90513,0.86768,0.78034,0.95863,0.90513,0.81715,0.32859,0.34428,0.37025,0.79359,0,0.000517059,0.000517059,0.000517059
56,520.204,0.81563,1.18636,0.61503,0.90712,0,0.83163,0.95062,0.92885,0.89066,0.83163,0.95062,0.92885,0.83108,0.32275,0.32589,0.36875,0.79128,0,0.00050606,0.00050606,0.00050606
57,529.17,0.7901,1.12855,0.60355,0.89979,0,0.8051,0.94611,0.91852,0.87264,0.8051,0.94611,0.91852,0.81269,0.32131,0.32353,0.3554,0.79477,0,0.000495062,0.000495062,0.000495062
58,538.182,0.79102,1.09124,0.58955,0.90005,0,0.85516,0.9609,0.92393,0.88296,0.85516,0.9609,0.92393,0.82978,0.31786,0.3271,0.36838,0.79357,0,0.000484063,0.000484063,0.000484063
59,547.14,0.7838,1.11711,0.59305,0.8989,0,0.84151,0.97784,0.93238,0.89725,0.84151,0.97784,0.93238,0.83102,0.32917,0.3198,0.36995,0.79194,0,0.000473064,0.000473064,0.000473064
60,556.144,0.78697,1.10518,0.59354,0.89831,0,0.87295,0.96067,0.9413,0.8888,0.87295,0.96067,0.9413,0.86049,0.34407,0.33404,0.36634,0.79372,0,0.000462065,0.000462065,0.000462065
61,565.109,0.82925,1.21413,0.62117,0.91056,0,0.89558,0.97227,0.93492,0.87313,0.89558,0.97227,0.93492,0.84344,0.3204,0.33394,0.34403,0.79372,0,0.000451066,0.000451066,0.000451066
62,574.15,0.7625,1.11609,0.57452,0.89444,0,0.91862,0.95333,0.93749,0.91013,0.91862,0.95333,0.93749,0.8454,0.32051,0.34315,0.34055,0.79134,0,0.000440067,0.000440067,0.000440067
63,583.157,0.77525,1.09184,0.58927,0.89181,0,0.8894,0.97784,0.9335,0.88478,0.8894,0.97784,0.9335,0.83605,0.31955,0.32995,0.33559,0.79163,0,0.000429068,0.000429068,0.000429068
64,592.126,0.77009,1.094,0.55725,0.8966,0,0.89782,0.9647,0.94642,0.90105,0.89782,0.9647,0.94642,0.85191,0.33836,0.35209,0.34591,0.7942,0,0.000418069,0.000418069,0.000418069
