epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
46,158.867,0.34655,0.61225,0.55678,0.79461,0,0.8587,0.852,0.88326,0.77414,0.8587,0.852,0.89464,0.76741,0.54101,0.79932,0.82034,0.93359,0,0.00062875,0.00062875,0.00062875
47,162.425,0.3517,0.60505,0.57491,0.79908,0,0.86819,0.86427,0.86971,0.76844,0.86819,0.86427,0.88587,0.76328,0.53155,0.71664,0.84855,0.93134,0,0.0006205,0.0006205,0.0006205
48,165.77,0.33961,0.57519,0.55852,0.79029,0,0.88433,0.79831,0.85388,0.76049,0.88433,0.79831,0.86262,0.7467,0.51869,0.70793,0.8643,0.91643,0,0.00061225,0.00061225,0.00061225
49,169.529,0.33345,0.58546,0.54873,0.77776,0,0.88787,0.81863,0.86579,0.77564,0.88787,0.81863,0.87275,0.75204,0.48364,0.73758,0.80053,0.8869,0,0.000604,0.000604,0.000604
50,173.531,0.33263,0.59543,0.52877,0.79613,0,0.85764,0.88969,0.86055,0.76654,0.85764,0.88969,0.86542,0.75332,0.52092,0.78736,0.82846,0.92703,0,0.00059575,0.00059575,0.00059575
51,177.556,0.32166,0.58582,0.5309,0.78375,0,0.8148,0.86895,0.85232,0.76242,0.8148,0.86895,0.85925,0.74899,0.51479,0.78444,0.83303,0.93115,0,0.0005875,0.0005875,0.0005875
52,181.544,0.33513,0.53833,0.50398,0.78068,0,0.81853,0.83891,0.85179,0.75733,0.81853,0.83891,0.86602,0.75079,0.50628,0.78058,0.87236,0.92827,0,0.00057925,0.00057925,0.00057925
53,185.072,0.32183,0.56998,0.496,0.78493,0,0.79676,0.87411,0.86128,0.76739,0.79581,0.88816,0.87173,0.76034,0.49525,0.82161,0.90467,0.92023,0,0.000571,0.000571,0.000571
54,188.542,0.3177,0.56201,0.51203,0.78799,0,0.80517,0.86894,0.8633,0.76733,0.80517,0.86894,0.87432,0.76013,0.49456,0.83775,0.88693,0.92162,0,0.00056275,0.00056275,0.00056275
55,192.103,0.31831,0.56587,0.49335,0.77482,0,0.83171,0.80421,0.86907,0.77047,0.83171,0.80421,0.87826,0.75593,0.50258,0.84167,0.82859,0.91967,0,0.0005545,0.0005545,0.0005545
56,195.942,0.31786,0.54666,0.49193,0.78771,0,0.88561,0.79213,0.86598,0.77691,0.88561,0.79213,0.86999,0.75115,0.50088,0.84942,0.78399,0.91563,0,0.00054625,0.00054625,0.00054625
57,199.447,0.32429,0.56135,0.49049,0.78233,0,0.85313,0.81825,0.86992,0.76953,0.85313,0.81825,0.87405,0.75852,0.50189,0.84866,0.82422,0.91541,0,0.000538,0.000538,0.000538
58,203.058,0.31711,0.51809,0.47623,0.7874,0,0.83064,0.78701,0.82552,0.72517,0.83064,0.78701,0.82792,0.71061,0.50306,0.86029,0.93644,0.9142,0,0.00052975,0.00052975,0.00052975
59,206.653,0.31015,0.54042,0.47103,0.78858,0,0.85334,0.82893,0.83772,0.72724,0.85334,0.82893,0.83772,0.72061,0.51309,0.90937,0.92446,0.91692,0,0.0005215,0.0005215,0.0005215
60,210.472,0.30669,0.50752,0.47992,0.79087,0,0.84652,0.86115,0.84568,0.75031,0.84652,0.86115,0.85347,0.74205,0.50876,0.92747,0.87055,0.91942,0,0.00051325,0.00051325,0.00051325
61,214.019,0.3054,0.52611,0.4697,0.78165,0,0.87026,0.82315,0.85685,0.76757,0.87026,0.82315,0.86137,0.74685,0.51036,0.91226,0.83672,0.92803,0,0.000505,0.000505,0.000505
62,217.571,0.31206,0.49401,0.46234,0.79657,0,0.88423,0.81594,0.86416,0.7671,0.88423,0.81594,0.87436,0.76052,0.51289,0.83775,0.8097,0.92253,0,0.00049675,0.00049675,0.00049675
