epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,1129.18,0.24916,0.16739,0.18554,0.85206,0,0.99852,1,0.995,0.98971,0.99852,1,0.995,0.99094,0.13278,0.06301,0.15662,0.88597,0,0.0007426,0.0007426,0.0007426
41,1157.79,0.24507,0.16537,0.18422,0.84398,0,0.99925,1,0.995,0.99291,0.99925,1,0.995,0.995,0.14901,0.06292,0.13527,0.88187,0,0.000736,0.000736,0.000736
42,1186.39,0.25179,0.16691,0.18146,0.84812,0,0.9991,1,0.995,0.99272,0.9991,1,0.995,0.995,0.1125,0.07287,0.10875,0.86813,0,0.0007294,0.0007294,0.0007294
43,1215.21,0.24548,0.16068,0.17591,0.8503,0,0.99938,1,0.995,0.994,0.99938,1,0.995,0.99288,0.12005,0.06601,0.11629,0.8698,0,0.0007228,0.0007228,0.0007228
44,1243.7,0.23979,0.16397,0.17668,0.85189,0,0.99902,1,0.995,0.991,0.99902,1,0.995,0.992,0.12931,0.0643,0.13278,0.88276,0,0.0007162,0.0007162,0.0007162
45,1272.42,0.24142,0.16319,0.17658,0.8432,0,0.99924,1,0.995,0.99071,0.99924,1,0.995,0.98942,0.11289,0.06462,0.11994,0.86952,0,0.0007096,0.0007096,0.0007096
46,1301.08,0.24835,0.16563,0.17781,0.85034,0,0.99898,1,0.995,0.99394,0.99898,1,0.995,0.99343,0.12043,0.0731,0.12203,0.86687,0,0.000703,0.000703,0.000703
47,1329.57,0.24954,0.17476,0.17918,0.84907,0,0.99938,1,0.995,0.991,0.99938,1,0.995,0.991,0.13372,0.06896,0.11657,0.87054,0,0.0006964,0.0006964,0.0006964
48,1358.6,0.233,0.15649,0.16767,0.84551,0,1,0.9981,0.995,0.991,1,0.9981,0.995,0.98999,0.1162,0.07453,0.10948,0.86549,0,0.0006898,0.0006898,0.0006898
49,1387.72,0.23527,0.17402,0.16683,0.84909,0,0.99919,1,0.995,0.992,0.99919,1,0.995,0.991,0.10894,0.06192,0.1027,0.86595,0,0.0006832,0.0006832,0.0006832
50,1418.56,0.22875,0.14967,0.16737,0.84656,0,0.99484,1,0.995,0.995,0.99484,1,0.995,0.99377,0.11122,0.07868,0.11517,0.865,0,0.0006766,0.0006766,0.0006766
